ticker,NAME,description_kor,business,GPT_comment,GPT_update_info
ABC UN,AMERISOURCEBERGEN CORP,"아메리소스버겐 주식회사는 제약 서비스를 제공합니다. 이 회사는 의료 공급 업체에 대해 브랜드 제네릭 약품, 일반 의료 제품, 가정 의료 용품 및 장비 등 관련 서비스를 제공합니다. 아메리소스버겐은 국제적으로 제품을 유통합니다.","['제약 서비스 제공', '브랜드 제네릭 약품 유통', '일반 의료 제품 유통', '가정 의료 용품 및 장비 유통', '관련 서비스 제공']","아메리소스버겐 주식회사는 제약 서비스 분야에서 활동하며, 브랜드 제네릭 약품, 일반 의료 제품 및 가정 의료 용품 및 장비를 국제적으로 유통합니다. 그러나 경쟁이 치열하고 규모가 큰 기업들과 경쟁해야 하는 한계가 있습니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.",powered by gpt-3.5-turbo at 2023-06-30
ABCB UW,AMERIS BANCORP,"AMERIS BANCORP은(는) 다중은행지주회사입니다. 이 은행들은 고객들에게 다양한 소매 및 기업 금융 서비스를 제공하며, 예금, 대출, 신탁, 디스카운트 중개, 전자 자금 이체 서비스 등이 포함됩니다. AMERIS BANCORP은(는) 조지아, 플로리다 및 앨러배마에서 운영합니다.","['Retail banking services', 'Commercial banking services', 'Trust services', 'Discount brokerage services', 'Electronic funds transfer services']","AMERIS BANCORP은(는) 소매 및 기업 금융 서비스를 다양하게 제공하는 다중은행지주회사로, 각종 은행 서비스를 제공함으로써 고객들의 요구를 충족시킵니다. 그러나 경쟁이 치열한 금융 시장에서 경쟁력을 유지하기 위해서는 혁신적인 서비스 개발과 고객서비스 품질 향상에 주력해야합니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.",powered by gpt-3.5-turbo at 2023-06-30
ABCL UW,ABCELLERA BIOLOGICS INC,"AbCellera Biologics는 제약 회사로, 고유한 면역화, 미세 유체역학, 고통유성 이미징, 유전체, 계산, 실험실 자동화 등의 기술을 결합하여 차세대 치료 항체를 개발합니다. AbCellera Biologics는 캐나다의 고객을 대상으로 합니다.",[],AbCellera Biologics는 면역학 및 다양한 첨단 기술을 활용하여 치료 항체를 개발하는 제약 회사입니다. 그러나 사업 내용에 대한 추가 정보가 필요합니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.,powered by gpt-3.5-turbo at 2023-06-30
ABG UN,ASBURY AUTOMOTIVE GROUP,"ASBURY AUTOMOTIVE GROUP은(는) 미국에서 프랜차이즈와 딜러 지점을 운영하는 자동차 판매업체로, 새차 및 중고차를 제공하며, 자동차 유지보수 및 수리 서비스, 교체 부품 및 서비스 계약, 그리고 고급 및 중저가 수입 브랜드에 대한 딜러를 제공합니다.","['자동차 판매', '자동차 유지보수 및 수리 서비스', '부품 판매']","ASBURY AUTOMOTIVE GROUP은(는) 미국에서 프랜차이즈와 딜러 지점을 운영하며, 다양한 자동차 서비스와 부품을 제공합니다. 이 기업의 장점으로는 광범위한 자동차 브랜드와 고객 서비스가 있습니다. 그러나 산업 경쟁력과 경제 변동성에 노출되어 있으며, 시장 상황 변화에 따른 적응이 필요합니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.",powered by gpt-3.5-turbo at 2023-06-30
ABM UN,ABM INDUSTRIES INC,"ABM Industries는 시설 서비스 계약업체입니다. 회사는 상업, 산업 및 기관 고객을 대상으로 에어컨, 엔지니어링, 청소, 조명, 주차, 보안 및 기타 외부위탁 시설 서비스를 제공합니다. ABM Industries는 전 세계적으로 고객을 서비스합니다.","['에어컨 서비스', '엔지니어링', '청소 서비스', '조명 서비스', '주차 서비스', '보안 서비스', '기타 외부위탁 시설 서비스']",ABM Industries는 시설 서비스 업체로써 넓은 서비스 범위를 제공합니다. 그러나 경쟁이 치열한 시장에서 확장을 하기 위해서는 높은 품질의 서비스를 제공해야 합니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.,powered by gpt-3.5-turbo at 2023-07-04
ABNB UW,AIRBNB INC-CLASS A,"에어비앤비는 여행 정보와 예약 서비스에 대한 온라인 마켓플레이스를 운영하는 회사입니다. 숙박, 홈스테이, 관광 서비스를 웹 사이트와 모바일 애플리케이션을 통해 제공합니다. 에어비앤비는 전 세계 고객을 대상으로 서비스를 제공합니다.",[],에어비앤비는 온라인 여행 정보와 예약 서비스를 제공하여 많은 사람들에게 편리함과 선택의 자유를 줍니다. 에어비앤비의 장점은 크린리스파운드에 인증된 숙소를 통해 안전한 여행 환경을 제공한다는 것입니다. 그러나 에어비앤비는 호스트와 게스트 간의 문제나 불만사항을 다루는 데 있어서 일부 사용자들에게 신뢰성에 대한 문제가 있을 수도 있습니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.,powered by gpt-3.5-turbo at 2023-06-30
ABR UN,ARBOR REALTY TRUST INC,"Arbor Realty Trust, Inc는 특수한 부동산 금융 회사입니다. 회사는 부동산 관련 브리지 및 메자닌 대출, 우선 주식 자본 및 제한된 경우 할인된 주택 담보 대출 및 기타 부동산 관련 자산에 투자합니다.",[],"ARBOR REALTY TRUST INC는 부동산 금융에 특화된 회사로서 투자 대상이 다양하고 자산 다변화를 통해 안정성을 추구하며, 복잡한 부동산 금융 거래를 처리하는 전문 기업입니다. 하지만, 투자 대상이 다양하다는 것은 가치 평가와 관리에 어려움을 야기할 수 있습니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.",powered by gpt-3.5-turbo at 2023-06-30
ABSI UW,ABSCI CORP,"AbSci 사는 합성 생물학 회사로서, 통합된 약물 개발 플랫폼을 통해 생물학 약물 발견 및 개발 과정을 번역하고 효율화합니다. AbSci 사는 미국에서 고객을 대상으로 서비스를 제공합니다.",[],"ABSCI 사의 장점은 통합된 약물 개발 플랫폼을 가지고 있어 생물학 약물 발견과 개발 과정을 효율적으로 진행할 수 있다는 것입니다. 그러나, ABSCI 사는 사업 내용이 명확하게 제공되지 않았습니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.",powered by gpt-3.5-turbo at 2023-07-04
ABT UN,ABBOTT LABORATORIES,"애보트 래보라토리즈는 넓고 다양한 의료 제품과 서비스를 발견, 개발, 제조 및 판매하는 기업입니다. 이 회사의 제품에는 의약품, 영양제, 진단 및 혈관 제품이 포함됩니다. 애보트는 자회사 및 유통업자를 통해 전 세계적으로 제품을 마케팅하고 있습니다.","['의약품', '영양제', '진단', '혈관 제품']","애보트 래보라토리즈는 넓고 다양한 의료 제품과 서비스를 제공하며 자회사 및 유통업자를 통해 세계적으로 그 제품을 마케팅하고 있습니다. 이 회사는 혈관 제품, 진단, 영양제, 의약품을 생산하는 등 산업의 다양한 부분에서 경쟁력을 가지고 있습니다. 제품 라인업이 다양하고 글로벌 시장에서의 지속적인 성장 가능성이 있어 큰 장점으로 꼽힙니다. 반면에 경쟁이 치열하고 기업의 규모가 크기 때문에 효율적인 운영 및 조정이 필요한 단점도 있습니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.",powered by gpt-3.5-turbo at 2023-06-30
ABUS UW,ARBUTUS BIOPHARMA CORP,"Arbutus Biopharma Corporation은 생물 의약품 회사로서, 만성 B형 간염 감염을 앓고 있는 환자들을 위한 일련의 약물 후보를 발견, 개발 및 상업화하는 것에 특화되어 있습니다. Arbutus Biopharma는 캐나다의 환자와 고객들에게 서비스를 제공합니다.",[],"Arbutus Biopharma Corporation은 만성 B형 간염 감염 환자들을 대상으로 하는 약물 후보를 발견, 개발 및 상업화하는 생물 의약품 회사입니다. 회사는 캐나다에서 환자와 고객을 대상으로 서비스를 제공하고 있습니다. 이 회사의 강점은 B형 간염 치료에 대한 전문성과 포트폴리오의 다양성입니다. 하지만 경쟁이 치열하고 산업의 규모가 크지 않아 시장 점유율을 높이기 어려울 수 있습니다. 또한, B형 간염 외에 다른 질병 치료를 통해 사업 다각화가 필요할 수도 있습니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.",powered by gpt-3.5-turbo at 2023-07-04
AC UN,ASSOCIATED CAPITAL GROUP - A,아소시에이티드 캐피탈 그룹은 투자 운용 및 기관 연구 서비스 사업을 경영하는 미국 기업입니다.,[],"아소시에이티드 캐피탈 그룹은 투자 운용 및 기관 연구 서비스 사업을 경영하는 미국 기업으로, 전문성과 안정성을 바탕으로 수익을 창출하고 있으나 산업의 경쟁력과 금융 시장의 불확실성에 대한 대응이 필요합니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.",powered by gpt-3.5-turbo at 2023-06-30
ACA UN,ARCOSA INC,"아르코사는 인프라 건설 서비스를 제공하는 기업입니다. 회사는 교통 라인, 에너지 프로젝트 및 기타 관련 부동산을 건설합니다. 아르코사는 미국 고객을 대상으로 합니다.",['인프라 건설 서비스 제공'],ARCOSA INC의 장점은 인프라 건설 서비스 분야에서 경쟁력을 갖고 있으며 일관된 수익성을 보여줍니다. 그러나 산업의 경쟁이 치열하여 시장 점유율 확대에 대한 도전이 있습니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.,powered by gpt-3.5-turbo at 2023-06-30
ACAD UW,ACADIA PHARMACEUTICALS INC,"ACADIA Pharmaceuticals는 중추신경계 장애의 치료를 위한 소분자 약물의 발견, 개발 및 상용화에 특화한 생물의약품 기업입니다. 주로 파킨슨병, 조현병, 신경통 및 녹내장의 증상 완화를 위한 치료에 전문화되어 있습니다.","['중추신경계 장애 치료 제품 개발', '파킨슨병 치료', '조현병 치료', '신경통 치료', '녹내장 치료']","ACADIA Pharmaceuticals는 중추신경계 장애 치료에 특화된 기업으로 파킨슨병, 조현병, 신경통 및 녹내장의 치료를 위한 소분자 약물을 개발하고 상용화하는 데 중점을 둡니다. 이 기업의 주요 강점은 다양한 중추신경계 장애에 대한 효과적인 치료 제품 개발 경험과 광범위한 연구 능력입니다. 그러나 기업의 주요 약물 후보 물질이 아직 상용화되지 않은 상태이며, 경쟁적인 시장에서 경쟁력을 유지하기 위해서는 더 많은 임상 시험이 필요할 것으로 예상됩니다. 따라서 이 기업은 미래 성장 가능성을 가지고 있지만 동시에 위험을 내포하고 있다고 볼 수 있습니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.",powered by gpt-3.5-turbo at 2023-06-30
ACCD UW,ACCOLADE INC,"Accolade, Inc는 소프트웨어 솔루션을 제공합니다. 이 회사는 개인 맞춤형 기술 활용 솔루션을 제공하여 사람들이 의료 시스템과 직장 혜택을 더 잘 이해하고 활용할 수 있도록 돕습니다. Accolade는 미국의 고객을 대상으로 서비스를 제공합니다.","['개인 맞춤형 기술 솔루션 제공', '의료 시스템 이해 및 활용 돕기', '직장 혜택 이해 및 활용 돕기']","Accolade, Inc는 개인 맞춤형 기술 솔루션을 제공하여 사람들이 의료 시스템과 직장 혜택을 더 잘 활용할 수 있게 돕습니다. 이 기업의 강점은 기술을 활용한 개인 맞춤형 솔루션과 의료 시스템에 대한 이해력이 높다는 것입니다. 한편, 경쟁사와 비교했을 때 약간 부족한 면도 있는데, 그것은 지속적인 혁신을 통해 개선될 수 있을 것입니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.",powered by gpt-3.5-turbo at 2023-06-30
ACCO UN,ACCO BRANDS CORP,"ACCO BRANDS CORP는 사무용 제품을 제조한다. 회사는 스테이플러, 일별 일정 다이어리, 분쇄기, 코팅 장비 및 프레젠테이션 보드 등을 생산한다.","['스테이플러 제조', '일정 다이어리 제조', '분쇄기 제조', '코팅 장비 제조', '프레젠테이션 보드 제조']","ACCO BRANDS CORP는 사무용 제품을 제조하는 기업으로, 스테이플러, 다이어리 등 다양한 제품을 생산하고 있다. 장점으로는 다양한 제품 라인업과 고객들에게 편리한 사무용 제품을 제공하는 것이 있으나, 경쟁력 있는 시장에서는 시장 점유율을 높이기 위해 더 많은 마케팅 노력이 필요할 수도 있다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.",powered by gpt-3.5-turbo at 2023-06-30
ACDC UW,PROFRAC HOLDING CORP-A,ProFrac Holding Corp.는 기업들이 북미 비전통적인 석유 및 천연가스 자원의 탐사 및 생산에 참여하고 있는 상하부 유류 및 가스 기업에 수압 파쇄 및 완성 서비스를 제공하는 기업으로 운영됩니다.,[],"ProFrac Holding Corp.는 북미 비전통적인 석유 및 천연가스 자원의 탐사 및 생산에 참여하는 상하부 유류 및 가스 기업에 수압 파쇄 및 완성 서비스를 제공하여 산업에 중요한 역할을 합니다. 그러나 이 기업은 경쟁이 치열한 시장에서 운영되기 때문에 지속적인 혁신과 효율적인 운영이 필수적입니다. 또한, 이 기업은 석유 및 가스 가격 변동성에 민감하기 때문에 위험성도 고려해야 합니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.",powered by gpt-3.5-turbo at 2023-06-30
ACEL UN,ACCEL ENTERTAINMENT INC,"Accel Entertainment, Inc.는 게임 서비스 제공업체로 운영되며, 소매점에 슬롯 머신, 환금 및 오락 장비를 제공합니다. Accel Entertainment은 미국의 고객을 대상으로 서비스를 제공합니다.","['게임 서비스 제공', '슬롯 머신 제공', '환금 및 오락 장비 제공']","ACCEL ENTERTAINMENT INC는 게임 서비스 제공업체로서 소매점에 슬롯 머신, 환금 및 오락 장비를 제공합니다. 주요 장점으로는 다양한 게임 서비스와 장비 제공으로 고객을 유입시킬 수 있으며, 미국 시장에서의 강력한 입지를 가지고 있습니다. 그러나 경쟁력 있는 시장에서는 전략적 파트너십과 지속적인 혁신이 필요할 것으로 보입니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.",powered by gpt-3.5-turbo at 2023-06-30
ACET UQ,ADICET BIO INC,"Adicet Bio, Inc는 임상 단계의 바이오 제약 회사로, 암 및 기타 질병을 위해 오프더셀 알로젠 분화 상세 T 세포 요법을 디자인하고 개발합니다. Adicet Bio는 전 세계 고객을 지원합니다.",[],"ADICET BIO INC는 임상 단계의 바이오 제약 회사로, 효과적인 전투 세포 요법을 개발하여 암 및 기타 질병 환자에게 새로운 치료 기회를 제공합니다. 그러나 경쟁이 치열하고 실험 단계의 제품 개발 위험이 존재합니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.",powered by gpt-3.5-turbo at 2023-06-30
ACGL UW,ARCH CAPITAL GROUP LTD,"Arch Capital Group Ltd.는 금융 서비스를 제공합니다. 회사는 생명, 건강 및 재산 보험 및 재보험 제품, 그리고 모기지 보험을 제공합니다. Arch Capital Group은 전세계 고객을 대상으로 서비스를 제공합니다.",[],"ARCH CAPITAL GROUP LTD는 국제적으로 활동하는 보험 및 재보험 서비스 회사로, 생명 보험, 건강 보험, 재산 보험 및 재보험 제품을 제공합니다. 회사의 장점은 글로벌 고객에게 서비스를 제공한다는 넓은 시장 접근성이 있으며, 재보험 분야에서의 전문성을 갖추고 있습니다. 그러나 경쟁력 있는 시장에서 경쟁해야 하는 상황에서 중요한 약점은 추정치의 부실성 또는 재보험 위험에 대한 과도한 노출일 수 있습니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.",powered by gpt-3.5-turbo at 2023-06-30
ACHC UW,ACADIA HEALTHCARE CO INC,"ACADIA HEALTHCARE CO INC은(는) 행동 건강 센터 네트워크를 운영하는 회사입니다. 회사는 정신건강 및 화학 의존성 서비스, 입원 정신 병원, 숙박치료 센터, 외래 클리닉 및 학교 기반의 치료 프로그램을 제공합니다. ACADIA HEALTHCARE는 미국고객을 대상으로 서비스를 제공합니다.","['행동 건강 센터 운영', '정신건강 및 화학 의존성 서비스 제공', '입원 정신 병원 운영', '숙박치료 센터 운영', '외래 클리닉 운영', '학교 기반의 치료 프로그램 제공']","ACADIA HEALTHCARE CO INC은(는) 미국에서 행동 건강 센터 네트워크를 운영하며, 정신건강과 화학 의존성 서비스를 제공합니다. 입원 정신 병원, 숙박치료 센터, 외래 클리닉 및 학교 기반의 치료 프로그램도 운영합니다. 회사의 강점은 종합적인 치료 서비스를 제공하는 것이며, 단점으로는 높은 경쟁력을 가진 시장에서 경쟁해야 한다는 점입니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.",powered by gpt-3.5-turbo at 2023-06-30
ACHR UN,ARCHER AVIATION INC-A,"Archer Aviation는 항공우주 기업으로, 전기 수직 이착륙 비행기를 제공합니다. Archer Aviation은 미국을 포함한 다양한 클라이언트에게 서비스를 제공합니다.",[],"Archer Aviation은 전기 수직 이착륙 비행기를 제공하는 항공우주 기업입니다. 이 기업의 장점은 혁신적인 비행기 기술을 보유하고 있으며, 향후 항공 산업에 대한 큰 영향을 줄 것으로 예상됩니다. 한편, 기술의 발전에 따른 고가의 투자가 필요하고, 경쟁사와의 경쟁력 확보에도 어려움이 있을 수 있습니다. 이 코멘트는 웹 상의 데이터로 학습한 거대한 언어 모델의 출력 결과입니다. 답변의 정확성을 보장할 수는 없습니다.",powered by gpt-3.5-turbo at 2023-06-30
